yearmon OIS.1m.rate ShadowRatep2 ShadowRatep3
200912  0.383021739  0.516818136  0.73497339
201001  0.353119048  0.474244152  0.69945898
201002  0.345525000  0.370885496  0.51895105
201003  0.352173913  0.345046734  0.47893515
201004  0.358863636  0.369979482  0.49174098
201005  0.352142857  0.261254524  0.26521298
201006  0.392772727  0.287943028  0.28108712
201007  0.504704545  0.503447511  0.48720125
201008  0.466295455  0.403165309  0.39768364
201009  0.486318182  0.440203104  0.44750799
201010  0.736642857  0.761974053  0.68826222
201011  0.690590909  0.810281685  0.77716213
201012  0.571347826  0.729815027  0.73587541
201101  0.663690476  0.890837345  0.92654482
201102  0.745650000  1.186798456  1.28308099
201103  0.802391304  1.400457923  1.52288308
201104  1.061047619  1.682612080  1.72640864
201105  1.031522727  1.638151304  1.64311466
201106  1.150159091  1.613823647  1.47953223
201107  1.283880952  1.584488535  1.34625430
201108  0.962304348  0.872848478  0.60607929
201109  0.878022727  0.552368736  0.30735802
201110  0.912000000  0.672898182  0.42807130
201111  0.679636364  0.354132742  0.17629469
201112  0.528886364  0.176145081  0.05138231
201201  0.377909091 -0.004519154 -0.08174006
201202  0.354214286 -0.015874783 -0.07997330
201203  0.356727273  0.012731052 -0.03483370
201204  0.349190476 -0.028924714 -0.08600930
201205  0.328173913 -0.137315884 -0.18452864
201206  0.295714286 -0.202187106 -0.23084639
201207  0.131909091 -0.411195139 -0.41109016
201208  0.100608696 -0.469550052 -0.46714421
201209  0.097700000 -0.417768403 -0.41595497
201210  0.092608696 -0.400431691 -0.38978385
201211  0.078681818 -0.452835043 -0.44908149
201212  0.073619048 -0.477663737 -0.46985997
201301  0.080456522 -0.344829329 -0.28987975
201302  0.084200000 -0.315577400 -0.25706927
201303  0.077952381 -0.406402251 -0.37577012
201304  0.079090909 -0.434537186 -0.40663059
201305  0.077869565 -0.450025571 -0.43527836
201306  0.091400000 -0.321778313 -0.26645892
201307  0.098478261 -0.324870377 -0.29916366
201308  0.094181818 -0.273782516 -0.22575770
