"ConsDisp";"InduDisp"
"1";23.3238129387114;NA
"2";23.2095562215222;NA
"3";28.322252735261;NA
"4";17.1681390954291;NA
"5";16.5263501717711;NA
"6";18.3378706506508;NA
"7";28.4588650511576;NA
"8";27.0400351331133;NA
"9";28.1353869708593;NA
"10";11.8762367777002;NA
"11";12.1499794238509;NA
"12";11.7809167724757;NA
"13";5.93921291081571;NA
"14";4.14427315702042;NA
"15";4.68809662869698;NA
"16";5.91977617820134;NA
"17";6.09507998306831;NA
"18";3.34649069922509;NA
"19";3.65513337649941;NA
"20";6.08255702809271;NA
"21";3.44873165091168;NA
"22";5.09963233968882;NA
"23";4.63119854897196;NA
"24";3.33410407755967;NA
"25";7.9254652860258;NA
"26";6.27694193059008;NA
"27";4.51685731454958;NA
"28";3.76218021896878;NA
"29";3.34637863966408;NA
"30";3.51958804407561;NA
"31";3.3529091845739;NA
"32";3.27108544675922;NA
"33";5.54272045118641;NA
"34";4.00056246045478;NA
"35";4.77420150391665;NA
"36";3.5364176789514;NA
"37";5.66027826171117;NA
"38";6.01298594709817;NA
"39";4.74676205428501;NA
"40";8.39940474081348;NA
"41";9.87066360484441;NA
"42";7.38198821456659;NA
"43";4.40545116872268;NA
"44";8.37173817077433;NA
"45";7.18722825573253;NA
"46";7.93826177446927;NA
"47";9.04046458983166;NA
"48";6.58915776104959;NA
"49";9.73685010668235;NA
"50";9.57078889120432;NA
"51";6.87891706593414;NA
"52";6.71699337501534;NA
"53";9.66857021487666;NA
"54";14.1015601973682;NA
"55";16.6950516620944;NA
"56";14.5880773236229;NA
"57";15.0128944577653;NA
"58";13.1823745964071;NA
"59";13.6244265934387;NA
"60";13.234188679326;NA
"61";17.1376194379499;NA
"62";17.5538030067561;NA
"63";13.7040140105007;NA
"64";19.953345584137;NA
"65";17.9678323678734;NA
"66";14.9364654453455;NA
"67";15.2788661228509;NA
"68";13.7656819663975;NA
"69";5.96657355607052;NA
"70";10.6930935654749;NA
"71";3.56107427611388;NA
"72";3.9706422654276;NA
"73";10.8786488131569;NA
"74";11.9304652046766;NA
"75";9.84859126982128;NA
"76";3.33860000599054;NA
"77";4.07120989387676;NA
"78";7.60715124077338;NA
"79";20.7632849038874;NA
"80";19.1853655164555;NA
"81";13.7182542621137;NA
"82";20.5201303602097;NA
"83";15.8904452423461;NA
"84";15.4634730898333;NA
"85";15.2588171232242;NA
"86";10.524732775705;NA
"87";16.9781992566939;NA
"88";23.8783165235743;NA
"89";23.8001260500864;NA
"90";22.6583318009071;NA
"91";21.0372526723429;NA
"92";28.8279378381458;NA
"93";39.9956935181777;NA
"94";59.2017736220799;NA
"95";57.5346612921289;NA
"96";58.191013051845;NA
"97";61.7239033924459;57.3578807136601
"98";55.52251795443;57.2136096500203
"99";55.8757729253028;57.421265753817
"100";46.3840705415124;57.8454906130815
"101";48.9763003911075;57.5361137427025
"102";54.7680016067777;57.5565385069189
"103";58.6349703675204;58.0098192791393
"104";58.3110795646934;57.5736619171865
"105";52.3724044702933;58.4221967931663
"106";60.4195187832541;58.0609567881523
"107";63.8675954612353;58.1511904013652
"108";55.8463964817785;58.2005452785694
"109";54.3277829475859;58.5051686277184
"110";46.7306109525651;58.2547716572396
"111";37.9646677846653;58.8731561637395
"112";27.1471545470239;58.8935235026259
"113";15.7298283525282;58.4422217283716
"114";8.06885989468153;58.8175204631398
"115";11.697649336512;58.8062353944864
"116";9.97340212765935;58.7378385680527
"117";9.11203874004056;58.3953701156206
"118";13.6454296377945;58.108787695633
"119";12.7635418281917;57.5960182689462
"120";16.9292646030476;58.6377914859559
"121";13.5552941687003;58.35107932698
"122";10.1885352234755;57.8020579880521
"123";11.5455619178973;58.3821090335195
"124";6.75438746297546;57.8705736846937
"125";3.41888139601244;57.5239562318389
"126";4.79069410419826;58.0881621984046
"127";4.55087903596656;57.7772138847636
"128";4.73434261540079;57.4786077219184
"129";9.93871219021861;58.2846390776643
"130";18.5587176281121;58.4655451968558
"131";22.834546196498;57.2872208134045
"132";27.0700942000577;58.2655017422959
"133";28.1348493864815;58.1750926181699
"134";23.5183226442704;57.6335533542007
"135";22.1941884285053;57.6930422560932
"136";24.4331792855535;58.1549007542231
"137";20.11437297059;57.8010405487981
"138";18.4177224433424;57.9448438942355
"139";25.8078282697324;57.9625976558978
"140";17.7386935821103;58.2099490602453
"141";18.8476391094482;58.2060574142478
"142";29.3929796039803;58.0278925031876
"143";28.6069746740196;57.7866900121888
"144";27.9231131860328;57.6584799870145
"145";19.3339080374352;57.5496484174378
"146";26.0657821674317;57.5619262715761
"147";20.5969415205268;57.4059800092839
"148";13.9409468831927;56.8796352492695
"149";11.9803380586693;56.9362591008184
"150";7.90488772848799;57.3955858575726
"151";9.13225054408825;57.1059475421047
"152";4.19225476325092;57.2394583090652
"153";3.71254629600764;57.07872546168
"154";3.59165699921359;56.2511784591513
"155";4.01497197997695;56.8700367098453
"156";4.996298629986;56.5621807308502
"157";3.4358405085219;56.2633098551616
"158";3.3689761055846;55.245197889614
"159";4.80793614766253;55.6612033310933
"160";3.7271973384837;55.0865502169559
"161";13.5600147492545;55.1244378630709
"162";12.9404404870932;56.3363604141771
"163";15.5797464677703;56.3265048505771
"164";11.5814506863346;56.9147452694541
"165";15.6260119672295;56.6885362175416
"166";14.9342308138049;56.7841447344628
"167";14.6501706474703;56.7114721819091
"168";10.4355522134672;57.2629397683055
"169";20.1893536300695;56.8890898142865
"170";18.2669920895587;56.8897722843848
"171";12.7633067815516;56.42751232896
"172";12.4223186241539;55.9639765162886
